KOSCOM_COM_CODE	TYPE	COMP_NAME_K	CRED_GRADE_TRADE_DATE	APPLY_GRADE	KIS_CRD_ESTI_DATE		NICE_CRD_ESTI_DATE	NICE_CRD_ESTI_GRADE	KR_CRD_ESTI_DATE	KR_CRD_ESTI_GRADE
11919       CP            에이제이네트웍스(구 아주렌탈)                                 20211214  130         20210625  130         00000000  0           20211214  130         
11919       CP            에이제이네트웍스(구 아주렌탈)                                 20210625  130         20210625  130         00000000  0           20210603  130         
11919       전자단기사채  에이제이네트웍스(구 아주렌탈)                                 20210625  130         20210625  130         00000000  0           00000000  0           
11919       CP            에이제이네트웍스(구 아주렌탈)                                 20210603  130         20201216  130         00000000  0           20210603  130         
11919       CP            에이제이네트웍스(구 아주렌탈)                                 20201216  130         20201216  130         00000000  0           20201211  130         
11919       전자단기사채  에이제이네트웍스(구 아주렌탈)                                 20201216  130         20201216  130         00000000  0           20201211  130         
11919       CP            에이제이네트웍스(구 아주렌탈)                                 20201211  130         20200522  130         00000000  0           20201211  130         
11919       전자단기사채  에이제이네트웍스(구 아주렌탈)                                 20201211  130         20200522  130         00000000  0           20201211  130         
11919       CP            에이제이네트웍스(구 아주렌탈)                                 20200525  130         20200522  130         00000000  0           20200525  130         
11919       전자단기사채  에이제이네트웍스(구 아주렌탈)                                 20200525  130         20200522  130         00000000  0           20200525  130         
11919       CP            에이제이네트웍스(구 아주렌탈)                                 20191209  130         20191209  130         00000000  0           20191209  130         
11919       CP            에이제이네트웍스(구 아주렌탈)                                 20190612  130         20190612  130         00000000  0           20190517  130         
11919       CP            에이제이네트웍스(구 아주렌탈)                                 20190517  130         20181204  130         00000000  0           20190517  130         
11919       CP            에이제이네트웍스(구 아주렌탈)                                 20181204  130         20181204  130         00000000  0           20181203  130         
11919       CP            에이제이네트웍스(구 아주렌탈)                                 20181203  130         20180615  130         00000000  0           20181203  130         
11919       CP            에이제이네트웍스(구 아주렌탈)                                 20180615  130         20180615  130         00000000  0           20180612  130         
11919       CP            에이제이네트웍스(구 아주렌탈)                                 20180612  130         20171113  130         00000000  0           20180612  130         
11919       CP            에이제이네트웍스(구 아주렌탈)                                 20171121  130         20171113  130         00000000  0           20171121  130         
11919       CP            에이제이네트웍스(구 아주렌탈)                                 20171113  130         20171113  130         00000000  0           20170403  130         
11919       CP            에이제이네트웍스(구 아주렌탈)                                 20170411  130         20170411  130         00000000  0           20170403  130         
11919       CP            에이제이네트웍스(구 아주렌탈)                                 20170403  130         20161010  130         00000000  0           20170403  130         

11959       CP            맥쿼리한국인프라투융자회사                                    20221226  110         20221123  110         20221226  110         00000000  0           
11959       전자단기사채  맥쿼리한국인프라투융자회사                                    20221226  110         20221123  110         20221226  110         00000000  0           
11959       CP            맥쿼리한국인프라투융자회사                                    20221123  110         20221123  110         20220311  110         00000000  0           
11959       전자단기사채  맥쿼리한국인프라투융자회사                                    20221123  110         20221123  110         20220311  110         00000000  0           
11959       CP            맥쿼리한국인프라투융자회사                                    20220311  110         20220307  110         20220311  110         00000000  0           
11959       전자단기사채  맥쿼리한국인프라투융자회사                                    20220311  110         20220311  110         20220311  110         20211124  110         
11959       CP            맥쿼리한국인프라투융자회사                                    20220307  110         20220307  110         00000000  0           00000000  0           
11959       전자단기사채  맥쿼리한국인프라투융자회사                                    20220307  110         20220307  110         20220307  110         20211124  110         
11959       전자단기사채  맥쿼리한국인프라투융자회사                                    20211228  110         00000000  0           20211228  110         20211124  110         
11959       전자단기사채  맥쿼리한국인프라투융자회사                                    20211124  110         00000000  0           20210611  110         20211124  110         
11959       전자단기사채  맥쿼리한국인프라투융자회사                                    20210611  110         00000000  0           20210611  110         20210510  110         
11959       전자단기사채  맥쿼리한국인프라투융자회사                                    20210514  110         00000000  0           20210514  110         20210510  110         
11959       전자단기사채  맥쿼리한국인프라투융자회사                                    20210510  110         00000000  0           00000000  0           20210510  110         
11959       CP            맥쿼리한국인프라투융자회사                                    20171227  110         00000000  0           20171227  110         20171221  110         
11959       전자단기사채  맥쿼리한국인프라투융자회사                                    20171227  110         00000000  0           20171227  110         00000000  0           
11959       CP            맥쿼리한국인프라투융자회사                                    20171221  110         00000000  0           20170427  110         20171221  110         
11959       CP            맥쿼리한국인프라투융자회사                                    20170427  110         00000000  0           20170427  110         20170407  110         
11959       전자단기사채  맥쿼리한국인프라투융자회사                                    20170427  110         00000000  0           20170427  110         00000000  0           
11959       CP            맥쿼리한국인프라투융자회사                                    20170407  110         00000000  0           20161229  110         20170407  110         

11987       CP            현대커머셜                                                    20221130  110         20221125  110         20221117  110         20221130  110         
11987       전자단기사채  현대커머셜                                                    20221130  110         20221125  110         20221117  110         20221130  110         
11987       CP            현대커머셜                                                    20221125  110         20221125  110         20221117  110         20220614  110         
11987       전자단기사채  현대커머셜                                                    20221125  110         20221125  110         20221117  110         20220614  110         
11987       CP            현대커머셜                                                    20221117  110         20220610  110         20221117  110         20220614  110         
11987       전자단기사채  현대커머셜                                                    20221117  110         20220610  110         20221117  110         20220614  110         
11987       CP            현대커머셜                                                    20220614  110         20220610  110         20220613  110         20220614  110         
11987       전자단기사채  현대커머셜                                                    20220614  110         20220610  110         20220613  110         20220614  110         
11987       CP            현대커머셜                                                    20220613  110         20220610  110         20220613  110         20211126  110         
11987       CP            현대커머셜                                                    20211129  110         20211129  110         20211126  110         20211126  110         
11987       전자단기사채  현대커머셜                                                    20211129  110         20211129  110         20211126  110         20211126  110         
11987       CP            현대커머셜                                                    20211126  110         20210521  110         20211126  110         20211126  110         
11987       전자단기사채  현대커머셜                                                    20211126  110         20210521  110         20211126  110         20211126  110         
11987       CP            현대커머셜                                                    20210621  110         20210521  110         20210621  110         20210524  110         
11987       전자단기사채  현대커머셜                                                    20210621  110         20210521  110         20210621  110         20210524  110         
11987       CP            현대커머셜                                                    20210524  110         20210521  110         20201209  110         20210524  110         
11987       전자단기사채  현대커머셜                                                    20210524  110         20210521  110         20201209  110         20210524  110         
11987       CP            현대커머셜                                                    20201214  110         20201209  110         20201209  110         20201214  110         
11987       전자단기사채  현대커머셜                                                    20201214  110         20201209  110         20201209  110         20201214  110         
11987       CP            현대커머셜                                                    20201209  110         20201209  110         20201209  110         20200625  110         
